Reference,Source Type,Genus,Species,Study site,Ecoregion,Sampling method,Activity categories,Home range method,Year,Latitude,Longitude,Altitude (m),Annual rainfall (mm),Max mean temp ,Min mean temp,Mean annual temp,Area (km2),Home range (ha),Density (ind/km2),Density (grps/km2),Groups,Individuals,Study length (month/hour),Hour,Plant species,Plant genera,Plant families,Unidentified species,Non-fig fruit (%),Fig (%),Fruit (%),Leaf (%),Flower (%),AO,Animal (%),Feeding (%),Moving (%),Resting (%),Singing (%),Social (%),Other (%),Tree density (/ha),Tree height (m),Mean DBH (cm),,,,,
"Surono 2012 (Group A, B)",Bachelors,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2011,-6.44,,1250,5000,,,,1133.57,,,,2,9,3,,42,35,25,3,46.07,31.73,77.8,21.02,1.18,0.002,0.002,,,,,,,,,,,,,,
Dewi 2016 (Group A),,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2015,-6.42,,1025.00,4298.04,,,,1133.57,23.72,,,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewi 2016 (Group B),,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2015,-6.42,,1025.00,4298.04,,,,1133.57,43.79,,,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewi 2016 (Group S),,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2015,-6.42,,1025.00,4298.04,,,,1133.57,32.72,,,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dewi 2016 (Groups A,B,S)",,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2015,-6.42,,1025.00,4298.04,,,,1133.57,33.41,,,3,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim et al. 2012, 2011 (Group A)",,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2008-2009,-6.42,,1025.00,4405.00,,,,1133.57,32.30,12.16,3.80,1,4,12,617.5,,,,,25.20,32.80,58.00,28.00,12.00,2.00,,,,,,,,,,,,,,,
"Kim et al. 2012, 2011 (Group B)",,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2008-2009,-6.42,,1025.00,4405.00,,,,1133.57,43.30,12.16,3.80,1,3,12,635.0,,,,,17.50,44.50,62.00,27.00,7.00,3.00,,,,,,,,,,,,,,,
"Kim et al. 2012, 2011 (Group D)",,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,,,,2008-2009,-6.42,,1025.00,4405.00,,,,1133.57,34.30,12.16,3.80,1,3,12,202.5,,,,,31.20,24.80,56.00,26.00,18.20,0.80,,,,,,,,,,,,,,,
장하늘 2014 (Group A),,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,Scan sampling every fifteen minutes; continuous focal animal sampling,,,2013-2014,-6.42,,1025.00,4527,,,,1133.57,27.20,,,1,4,12,420,,,,,,,,,,,,,,,,,,,,,,,,,
장하늘 2014 (Group B),,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,Scan sampling every fifteen minutes; continuous focal animal sampling,,,2013-2014,-6.42,,1025.00,4527,,,,1133.57,47.80,,,1,3,12,441.25,,,,,,,,,,,,,,,,,,,,,,,,,
